Run,Unique,Portion Portion Portion Portion Portion Gasoline,Portion Portion Portion Portion Portion Jet Fuel,Portion Portion Portion Portion Portion Diesel,Portion Portion Portion Portion Portion Fuel Oil,Portion Portion Portion Portion Portion Petroleum Coke,Portion Portion Portion Portion Portion Residual Fuels,Portion Portion Portion Portion Portion Surplus Refinery Fuel Gas (RFG),Portion Portion Portion Portion Portion Liquefied Petroleum Gases (LPG),Portion Portion Portion Portion Portion Petrochemical Feedstocks,Portion Portion Portion Portion Portion Asphalt,MJD MJD MJD MJD MJD Gasoline,MJD MJD MJD MJD MJD Jet Fuel,MJD MJD MJD MJD MJD Diesel,MJD MJD MJD MJD MJD Fuel Oil,MJD MJD MJD MJD MJD Petroleum Coke,MJD MJD MJD MJD MJD Residual Fuels,MJD MJD MJD MJD MJD Surplus Refinery Fuel Gas (RFG),MJD MJD MJD MJD MJD Surplus NCR H2,MJD MJD MJD MJD MJD Liquefied Petroleum Gases (LPG),MJD MJD MJD MJD MJD Petrochemical Feedstocks,Crude,Electricity,Heat RFG,Heat Natural Gas,Steam RFG,Steam Natural Gas,Steam Electricity,Hydrogen Steam RFG,Hydrogen Steam Natural Gas,Hydrogen Steam Electricity,"Hydrogen RFG, heat SMR","Hydrogen Natural Gas, Heat SMR","Hydrogen RFG, Feed SMR","Hydrogen Natural Gas, Feed SMR",Hydrogen via CNR,Fluid Catalytic Cracking Regeneration,Excess of RFG,Total refinery processes ,Gasoline,Jet Fuel,Diesel,Fuel Oil,Petroleum Coke,Residual Fuels,Net Upstream Petcoke,Liquefied Petroleum Gas (LPG),Petrochemical Feedstocks,Asphalt
run41,Lynch Canyon,39069.14929,9592.136021,44010.69427,2.26482E-08,14668.38017,2715.239513,0,3018.696061,0,0,192200717.4,51152157.33,238312794.6,0.000122588,94767783.28,16828771.97,0,0,11275829.83,0,0,5.514143822,22.59313809,0.939107521,0,4.479817237,0.050930831,0,0,1.034341409,0,40.07732384,0,35.35311214,0,3.917217191,0,113.9591321,144.6745913,39.43200118,189.4250033,1.04651E-10,88.12680812,12.29365527,0,7.236140477,N/A,N/A
run41,Mahala,42293.38237,21373.38262,33816.27303,1.64828E-08,7766.466018,2223.916762,0,2698.144293,0,0,207221199.9,113978224.3,182959413.8,8.89853E-05,50176690.26,13783604.69,0,0,10077863.93,0,0,4.289405414,14.67594875,6.84884116,0,3.702984446,0.042099056,0,0,0.591532125,2.31236E-15,22.9199221,-5.56653E-31,20.21818073,0,3.115849947,0,76.40476373,156.6140528,87.86314611,145.5475251,7.61627E-11,46.6604937,10.06911762,0,6.46774327,N/A,N/A
run41,McCool Ranch,39169.68564,10355.54328,48960.16076,3.10618E-08,11056.97882,3535.703685,0,2616.938803,0,0,192372064.7,55223193.03,265774127.4,0.000169137,71435656.83,21913923.54,0,0,9777678.16,0,0,5.148273759,18.07685823,3.889479962,0,4.482536454,0.050961746,0,0,0.964947878,0,37.38855301,0,32.98128669,0,4.982709612,0,107.9656073,145.0468814,42.57026734,210.7278416,1.43529E-10,66.42971066,16.0084302,0,6.273084939,N/A,N/A
run41,West Montalvo,42777.37155,10217.02334,40756.15503,2.2671E-08,10725.32587,2765.928076,0,3014.764586,0,0,209992605.4,54484505.27,220689416.8,0.000122716,69292951.61,17142934.41,0,0,11261726.11,0,0,4.617793554,21.45342635,1.021036448,0,4.266463554,0.048505223,0,0,0.895401042,0,34.69384211,0,30.60422137,0,4.162743992,0,101.7634336,158.4062837,42.00083023,175.4172464,1.04757E-10,64.43715828,12.52315536,0,7.226716307,N/A,N/A
run41,Midway Sunset,44473.09663,17140.45963,33173.32307,1.54651E-08,11293.86654,1976.856905,0,2983.60976,0,0,215180762,91405239.22,179619150.9,8.36867E-05,72966113.77,12252353.4,0,0,11141462.71,0,0,4.815057817,18.91757503,3.606233248,0,3.793960849,0.043133362,0,0,0.806395092,2.36916E-15,31.2451546,0,27.56205626,0,2.852877919,0,93.64244418,164.6856202,70.46216013,142.780225,7.14601E-11,67.85291884,8.950516955,0,7.152034824,N/A,N/A
