Run,Unique,Portion Portion Portion Portion Portion Gasoline,Portion Portion Portion Portion Portion Jet Fuel,Portion Portion Portion Portion Portion Diesel,Portion Portion Portion Portion Portion Fuel Oil,Portion Portion Portion Portion Portion Petroleum Coke,Portion Portion Portion Portion Portion Residual Fuels,Portion Portion Portion Portion Portion Surplus Refinery Fuel Gas (RFG),Portion Portion Portion Portion Portion Liquefied Petroleum Gases (LPG),Portion Portion Portion Portion Portion Petrochemical Feedstocks,Portion Portion Portion Portion Portion Asphalt,MJD MJD MJD MJD MJD Gasoline,MJD MJD MJD MJD MJD Jet Fuel,MJD MJD MJD MJD MJD Diesel,MJD MJD MJD MJD MJD Fuel Oil,MJD MJD MJD MJD MJD Petroleum Coke,MJD MJD MJD MJD MJD Residual Fuels,MJD MJD MJD MJD MJD Surplus Refinery Fuel Gas (RFG),MJD MJD MJD MJD MJD Surplus NCR H2,MJD MJD MJD MJD MJD Liquefied Petroleum Gases (LPG),MJD MJD MJD MJD MJD Petrochemical Feedstocks,Crude,Electricity,Heat RFG,Heat Natural Gas,Steam RFG,Steam Natural Gas,Steam Electricity,Hydrogen Steam RFG,Hydrogen Steam Natural Gas,Hydrogen Steam Electricity,"Hydrogen RFG, heat SMR","Hydrogen Natural Gas, Heat SMR","Hydrogen RFG, Feed SMR","Hydrogen Natural Gas, Feed SMR",Hydrogen via CNR,Fluid Catalytic Cracking Regeneration,Excess of RFG,Total refinery processes ,Gasoline,Jet Fuel,Diesel,Fuel Oil,Petroleum Coke,Residual Fuels,Net Upstream Petcoke,Liquefied Petroleum Gas (LPG),Petrochemical Feedstocks,Asphalt
run30,Lynch Canyon,42900.85946,9592.136021,27082.61416,2.53834E-08,20860.11376,3006.20887,0,0,0,0,212854074.5,51152157.33,146560425.5,0.000137298,137595533.4,18632169.77,0,0,26473683.1,15208171.94,0,5.383011059,26.42142424,0,1.471251563,0,0.019102425,0,0,0.529212933,4.298795996,15.59586403,0,18.08815157,0,4.433170851,0,76.23998467,0,0,0,0,0,0,0,0,N/A,N/A
run30,Mahala,45825.50928,21373.38262,27553.60539,2.14103E-08,7644.352708,2765.129204,0,0,0,0,225524796.9,113978224.3,148928681.1,0.000115505,50422965.08,17137983.09,0,0,18599975.61,11599840.19,0,4.106595915,22.04855568,0,0.37527451,2.882544265,0.037632421,0,0,0.389539798,0,15.09338453,0,13.31421524,0,3.960010534,0,62.2077529,0,0,0,0,0,0,0,0,N/A,N/A
run30,McCool Ranch,41987.70641,10355.54328,36158.6183,3.3387E-08,15455.70322,3780.007035,0,0,0,0,207604553.1,55223193.03,196382968,0.000181644,101947465.5,23428090.28,0,0,22583220.58,13294491.59,0,5.140846388,23.60358977,0,3.348509491,0,0.04346362,0,0,0.597957098,0.264998252,22.86631886,-3.3747E-17,20.43778212,0,5.445093042,0,81.74855865,0,0,0,0,0,0,0,0,N/A,N/A
run30,West Montalvo,48981.75874,10217.02334,34222.39197,3.20323E-08,7919.203734,3807.856089,0,0,0,0,241756398.7,54484505.27,185084562.4,0.000173091,52235911.74,23600695.82,5.16988E-26,0,22305500.16,13719295.11,0,4.29323166,22.87802198,0,3.923139826,0,0.050872507,0,0,0.501457492,2.202162317,16.91806625,4.58785E-16,17.13948876,0,5.857902111,3.17487E-32,73.7643429,181.3813727,42.00083023,147.2954885,1.48013E-10,49.7586161,17.24064114,0,0,N/A,N/A
run30,Midway Sunset,52600.50724,17140.45963,28737.54233,2.80727E-08,5530.261322,3405.293901,0,0,0,0,256446193.6,91405239.22,155301328.1,0.000151529,36478193.01,21105657.27,0,0,21926251.1,13295789.01,0,4.948646568,25.33564795,0,1.732516739,2.834766567,0.05468184,0,0,0.542351427,0,21.014332,0,18.53721667,0,5.023258445,0,80.02341821,194.7817403,70.46216013,123.6883249,1.29717E-10,34.74820945,15.41798029,0,0,N/A,N/A
