Run,Unique,Portion Portion Portion Portion Portion Gasoline,Portion Portion Portion Portion Portion Jet Fuel,Portion Portion Portion Portion Portion Diesel,Portion Portion Portion Portion Portion Fuel Oil,Portion Portion Portion Portion Portion Petroleum Coke,Portion Portion Portion Portion Portion Residual Fuels,Portion Portion Portion Portion Portion Surplus Refinery Fuel Gas (RFG),Portion Portion Portion Portion Portion Liquefied Petroleum Gases (LPG),Portion Portion Portion Portion Portion Petrochemical Feedstocks,Portion Portion Portion Portion Portion Asphalt,MJD MJD MJD MJD MJD Gasoline,MJD MJD MJD MJD MJD Jet Fuel,MJD MJD MJD MJD MJD Diesel,MJD MJD MJD MJD MJD Fuel Oil,MJD MJD MJD MJD MJD Petroleum Coke,MJD MJD MJD MJD MJD Residual Fuels,MJD MJD MJD MJD MJD Surplus Refinery Fuel Gas (RFG),MJD MJD MJD MJD MJD Surplus NCR H2,MJD MJD MJD MJD MJD Liquefied Petroleum Gases (LPG),MJD MJD MJD MJD MJD Petrochemical Feedstocks,Crude,Electricity,Heat RFG,Heat Natural Gas,Steam RFG,Steam Natural Gas,Steam Electricity,Hydrogen Steam RFG,Hydrogen Steam Natural Gas,Hydrogen Steam Electricity,"Hydrogen RFG, heat SMR","Hydrogen Natural Gas, Heat SMR","Hydrogen RFG, Feed SMR","Hydrogen Natural Gas, Feed SMR",Hydrogen via CNR,Fluid Catalytic Cracking Regeneration,Excess of RFG,Total refinery processes ,Gasoline,Jet Fuel,Diesel,Fuel Oil,Petroleum Coke,Residual Fuels,Net Upstream Petcoke,Liquefied Petroleum Gas (LPG),Petrochemical Feedstocks,Asphalt
run10,Lynch Canyon,2461.108773,9592.136021,5225.336936,5899.477498,2.00746E-17,77975.07258,0,0,0,0,12531037.11,51152157.33,28300520.13,34784317.05,1.32414E-13,487125161.7,0,0,885162.9954,602883.8551,0,0.641790001,1.037683819,2.871961397,0,0.84875728,0.009649481,0,0,0.029215601,0,1.132008324,0,0.998570099,0,3.70706E-20,0,7.569636001,0,0,0,0,0,0,0,0,N/A,N/A
run10,Mahala,14994.16876,21373.38262,8740.60165,6990.831707,1.4098E-17,52330.64128,0,0,0,0,73184369.17,113978224.3,47339257.93,40599618.73,9.29919E-14,306233980.5,0,0,3646568.83,2579282.799,0,1.43833375,4.218523738,5.375542253,0,1.400612231,0.015923494,0,0,0.040472719,0,1.568184592,0,1.383331032,0,3.7973E-20,0,15.44092381,0,0,0,0,0,0,0,0,N/A,N/A
run10,McCool Ranch,1356.897355,10355.54328,7695.065643,10558.56286,1.99366E-17,74134.50424,0,0,0,0,6362278.491,55223193.03,41676615.85,62310010.66,1.31504E-13,452224164.1,0,0,405988.2048,161344.7799,0,0.653633416,0.377521636,3.413724074,0,1.005098809,0.011426921,0,0,0.053875115,0,2.087483301,0,1.841416147,0,3.62573E-20,0,9.444179418,0,0,0,0,0,0,0,0,N/A,N/A
run10,West Montalvo,9316.835896,10217.02334,6656.228143,7036.578851,1.06081E-17,66033.13189,0,0,0,0,45644870.78,54484505.27,36050253.01,41022554.04,6.99718E-14,400979981.9,0,0,2304106.077,1656903.165,0,0.62595567,2.885385035,2.18793152,0,1.270884953,0.014448631,0,0,0.00061442,0,0.023806736,0,0.021000459,0,4.20271E-20,0,7.030027424,34.50060854,42.00083023,28.64885589,32.51425484,6.66534E-20,298.974936,0,0,N/A,N/A
run10,Midway Sunset,16212.43346,17140.45963,4431.923422,7027.167727,7.01636E-18,57815.90165,0,0,0,0,76503986.47,91405239.22,24003378.08,40926453.36,4.62807E-14,349444416.3,0,0,2956486.139,1939397.537,0,1.129061598,3.401026752,4.657873741,0,1.340395212,0.01523889,0,0,0.04507138,0,1.746367556,0,1.540510247,0,4.15201E-20,0,13.87554537,60.03527665,70.46216013,19.07529801,32.47076841,4.40858E-20,261.7701902,0,0,N/A,N/A
