Run,Unique,Portion Portion Portion Portion Portion Gasoline,Portion Portion Portion Portion Portion Jet Fuel,Portion Portion Portion Portion Portion Diesel,Portion Portion Portion Portion Portion Fuel Oil,Portion Portion Portion Portion Portion Petroleum Coke,Portion Portion Portion Portion Portion Residual Fuels,Portion Portion Portion Portion Portion Surplus Refinery Fuel Gas (RFG),Portion Portion Portion Portion Portion Liquefied Petroleum Gases (LPG),Portion Portion Portion Portion Portion Petrochemical Feedstocks,Portion Portion Portion Portion Portion Asphalt,MJD MJD MJD MJD MJD Gasoline,MJD MJD MJD MJD MJD Jet Fuel,MJD MJD MJD MJD MJD Diesel,MJD MJD MJD MJD MJD Fuel Oil,MJD MJD MJD MJD MJD Petroleum Coke,MJD MJD MJD MJD MJD Residual Fuels,MJD MJD MJD MJD MJD Surplus Refinery Fuel Gas (RFG),MJD MJD MJD MJD MJD Surplus NCR H2,MJD MJD MJD MJD MJD Liquefied Petroleum Gases (LPG),MJD MJD MJD MJD MJD Petrochemical Feedstocks,Crude,Electricity,Heat RFG,Heat Natural Gas,Steam RFG,Steam Natural Gas,Steam Electricity,Hydrogen Steam RFG,Hydrogen Steam Natural Gas,Hydrogen Steam Electricity,"Hydrogen RFG, heat SMR","Hydrogen Natural Gas, Heat SMR","Hydrogen RFG, Feed SMR","Hydrogen Natural Gas, Feed SMR",Hydrogen via CNR,Fluid Catalytic Cracking Regeneration,Excess of RFG,Total refinery processes ,Gasoline,Jet Fuel,Diesel,Fuel Oil,Petroleum Coke,Residual Fuels,Net Upstream Petcoke,Liquefied Petroleum Gas (LPG),Petrochemical Feedstocks,Asphalt
run40,Lynch Canyon,39069.14929,9592.136021,44010.69427,2.26482E-08,14668.38017,2715.239513,0,0,0,0,192200717.4,51152157.33,238312794.6,0.000122588,94767783.28,16828771.97,0,0,0,0,0,6.254414829,24.6640969,0,0.680392219,0,0.008947273,0,0,1.057959438,1.334933632,39.44836207,0,36.16036093,0,4.004086603,0,113.6135539,0,0,0,0,0,0,0,0,N/A,N/A
run40,Mahala,42293.38237,21373.38262,33816.27303,1.64828E-08,7766.466018,2223.916762,0,0,0,0,207221199.9,113978224.3,182959413.8,8.89853E-05,50176690.26,13783604.69,0,0,0,0,0,4.503190836,19.11991685,1.60984073,0,2.973561757,0.033806283,0,0,0.602943551,0,23.3620773,0,20.60821581,0,3.184926691,0,75.99847981,0,0,0,0,0,0,0,0,N/A,N/A
run40,McCool Ranch,39169.68564,10355.54328,48960.16076,3.10618E-08,11056.97882,3535.703685,0,0,0,0,192372064.7,55223193.03,265774127.4,0.000169137,71435656.83,21913923.54,0,0,0,0,0,5.506221257,21.51633223,0,0.405361754,2.405433738,0.032671368,0,0,0.983195087,0,38.09557226,0,33.60496434,0,5.093174525,0,107.6429266,0,0,0,0,0,0,0,0,N/A,N/A
run40,West Montalvo,42777.37155,10217.02334,40756.15503,2.2671E-08,10725.32587,2765.928076,0,0,0,0,209992605.4,54484505.27,220689416.8,0.000122716,69292951.61,17142934.41,0,0,0,0,0,4.824345135,20.61167605,0,3.275154893,0,0.042950422,0,0,0.927644554,1.69332022,33.98993824,0,31.70628349,0,4.255028429,0,101.3263414,158.4062837,42.00083023,175.4172464,1.04757E-10,64.43715828,12.52315536,0,0,N/A,N/A
run40,Midway Sunset,44473.09663,17140.45963,33173.32307,1.54651E-08,11293.86654,1976.856905,0,0,0,0,215180762,91405239.22,179619150.9,8.36867E-05,72966113.77,12252353.4,0,0,0,0,0,5.029754095,21.55211139,0,2.265141051,0.497337879,0.035347686,0,0,0.82422588,0,31.93603894,0,28.17150093,0,2.916125136,0,93.22758298,164.6856202,70.46216013,142.780225,7.14601E-11,67.85291884,8.950516955,0,0,N/A,N/A
