Run,Unique,Portion Portion Portion Portion Portion Gasoline,Portion Portion Portion Portion Portion Jet Fuel,Portion Portion Portion Portion Portion Diesel,Portion Portion Portion Portion Portion Fuel Oil,Portion Portion Portion Portion Portion Petroleum Coke,Portion Portion Portion Portion Portion Residual Fuels,Portion Portion Portion Portion Portion Surplus Refinery Fuel Gas (RFG),Portion Portion Portion Portion Portion Liquefied Petroleum Gases (LPG),Portion Portion Portion Portion Portion Petrochemical Feedstocks,Portion Portion Portion Portion Portion Asphalt,MJD MJD MJD MJD MJD Gasoline,MJD MJD MJD MJD MJD Jet Fuel,MJD MJD MJD MJD MJD Diesel,MJD MJD MJD MJD MJD Fuel Oil,MJD MJD MJD MJD MJD Petroleum Coke,MJD MJD MJD MJD MJD Residual Fuels,MJD MJD MJD MJD MJD Surplus Refinery Fuel Gas (RFG),MJD MJD MJD MJD MJD Surplus NCR H2,MJD MJD MJD MJD MJD Liquefied Petroleum Gases (LPG),MJD MJD MJD MJD MJD Petrochemical Feedstocks,Crude,Electricity,Heat RFG,Heat Natural Gas,Steam RFG,Steam Natural Gas,Steam Electricity,Hydrogen Steam RFG,Hydrogen Steam Natural Gas,Hydrogen Steam Electricity,"Hydrogen RFG, heat SMR","Hydrogen Natural Gas, Heat SMR","Hydrogen RFG, Feed SMR","Hydrogen Natural Gas, Feed SMR",Hydrogen via CNR,Fluid Catalytic Cracking Regeneration,Excess of RFG,Total refinery processes ,Gasoline,Jet Fuel,Diesel,Fuel Oil,Petroleum Coke,Residual Fuels,Net Upstream Petcoke,Liquefied Petroleum Gas (LPG),Petrochemical Feedstocks,Asphalt
run11,Lynch Canyon,2461.108773,9592.136021,5225.336936,5899.477498,2.00746E-17,77975.07258,0,237.181424,0,0,12531037.11,51152157.33,28300520.13,34784317.05,1.32414E-13,487125161.7,0,0,885162.9954,602883.8551,0,0.565573038,0.714980873,2.99398285,0,1.206264004,0.013713959,0,0,0.02871634,1.94908E-16,1.112663628,0,0.981505706,0,3.62658E-20,0,7.617400398,9.113582261,39.43200118,22.49020341,27.25999649,1.26134E-19,353.0438685,0,0.568549489,N/A,N/A
run11,Mahala,14994.16876,21373.38262,8740.60165,6990.831707,1.4098E-17,52330.64128,0,976.9553823,0,0,73184369.17,113978224.3,47339257.93,40599618.73,9.29919E-14,306233980.5,0,0,3646568.83,2579282.799,0,1.382571988,2.525351801,7.330027143,0,1.457515777,0.016570428,-6.46604E-16,6.07288E-16,0.039507217,0,1.53077459,0,1.350330824,0,3.71492E-20,0,15.63264977,55.5239947,87.86314611,37.62014037,32.30286883,8.85817E-20,236.9348489,0,2.341867562,N/A,N/A
run11,McCool Ranch,1356.897355,10355.54328,7695.065643,10558.56286,1.99366E-17,74134.50424,0,109.0360673,0,0,6362278.491,55223193.03,41676615.85,62310010.66,1.31504E-13,452224164.1,0,0,405988.2048,161344.7799,0,0.62867671,0.216205301,3.525154955,0,1.12511919,0.012791427,0,0,0.053520773,0,2.073753742,0,1.829304993,0,3.54708E-20,0,9.46452709,5.024644097,42.57026734,33.12008271,48.78845401,1.25267E-19,335.6551178,0,0.261371229,N/A,N/A
run11,West Montalvo,9316.835896,10217.02334,6656.228143,7036.578851,1.06081E-17,66033.13189,0,617.2348401,0,0,45644870.78,54484505.27,36050253.01,41022554.04,6.99718E-14,400979981.9,0,0,2304106.077,1656903.165,0,0.595563503,1.681785285,3.560391268,0,1.265160301,0.014383548,-3.35329E-16,3.26171E-16,0.000583611,0,0.022613023,0,0.019947458,0,4.11162E-20,0,7.160427998,34.50060854,42.00083023,28.64885589,32.51425484,6.66534E-20,298.974936,0,1.479578573,N/A,N/A
run11,Midway Sunset,16212.43346,17140.45963,4431.923422,7027.167727,7.01636E-18,57815.90165,0,792.4476356,0,0,76503986.47,91405239.22,24003378.08,40926453.36,4.62807E-14,349444416.3,0,0,2956486.139,1939397.537,0,1.101017012,1.95676414,6.395036259,0,1.318959199,0.014995185,0,0,0.04392608,0,1.701990963,0,1.501364653,0,4.06195E-20,0,14.03405349,60.03527665,70.46216013,19.07529801,32.47076841,4.40858E-20,261.7701902,0,1.899582567,N/A,N/A
