Run,Unique,Portion Portion Portion Portion Portion Gasoline,Portion Portion Portion Portion Portion Jet Fuel,Portion Portion Portion Portion Portion Diesel,Portion Portion Portion Portion Portion Fuel Oil,Portion Portion Portion Portion Portion Petroleum Coke,Portion Portion Portion Portion Portion Residual Fuels,Portion Portion Portion Portion Portion Surplus Refinery Fuel Gas (RFG),Portion Portion Portion Portion Portion Liquefied Petroleum Gases (LPG),Portion Portion Portion Portion Portion Petrochemical Feedstocks,Portion Portion Portion Portion Portion Asphalt,MJD MJD MJD MJD MJD Gasoline,MJD MJD MJD MJD MJD Jet Fuel,MJD MJD MJD MJD MJD Diesel,MJD MJD MJD MJD MJD Fuel Oil,MJD MJD MJD MJD MJD Petroleum Coke,MJD MJD MJD MJD MJD Residual Fuels,MJD MJD MJD MJD MJD Surplus Refinery Fuel Gas (RFG),MJD MJD MJD MJD MJD Surplus NCR H2,MJD MJD MJD MJD MJD Liquefied Petroleum Gases (LPG),MJD MJD MJD MJD MJD Petrochemical Feedstocks,Crude,Electricity,Heat RFG,Heat Natural Gas,Steam RFG,Steam Natural Gas,Steam Electricity,Hydrogen Steam RFG,Hydrogen Steam Natural Gas,Hydrogen Steam Electricity,"Hydrogen RFG, heat SMR","Hydrogen Natural Gas, Heat SMR","Hydrogen RFG, Feed SMR","Hydrogen Natural Gas, Feed SMR",Hydrogen via CNR,Fluid Catalytic Cracking Regeneration,Excess of RFG,Total refinery processes ,Gasoline,Jet Fuel,Diesel,Fuel Oil,Petroleum Coke,Residual Fuels,Net Upstream Petcoke,Liquefied Petroleum Gas (LPG),Petrochemical Feedstocks,Asphalt
run20,Lynch Canyon,13396.03873,9592.136021,15887.90064,1.24308E-08,2.00746E-17,63864.58298,0,0,0,0,66530467.66,51152157.33,86266601.95,6.76512E-05,1.32414E-13,403751508.7,0,0,2253960.188,1949390.784,0,1.986867851,3.308737781,5.669593071,0,0.965091621,0.010972081,0,0,0.164727855,0,6.382661978,0,5.630290225,0,2.133778838,0,26.2527213,0,0,0,0,0,0,0,0,N/A,N/A
run20,Mahala,28408.3197,21373.38262,18537.88629,1.09221E-08,1.4098E-17,38279.58889,0,0,0,0,139262763.6,113978224.3,100340363.1,5.90623E-05,9.29919E-14,225628750.2,0,0,5139386.018,4074332.089,0,2.474212187,6.679110649,6.717284596,0,2.109711192,0.023985207,0,0,0.15627469,1.07356E-15,6.055129658,0,5.341366571,0,2.194763045,0,31.75183779,0,0,0,0,0,0,0,0,N/A,N/A
run20,McCool Ranch,19346.63229,10355.54328,27505.85634,2.34131E-08,1.99366E-17,51823.51526,0,0,0,0,95425598.16,55223193.03,149816685.1,0.000128069,1.31504E-13,317576545.5,0,0,2755408.448,2448713.776,0,2.512198801,4.122772009,6.907627487,0,2.069189239,0.023524515,0,0,0.316961066,0,12.28119765,0,10.83352171,0,3.68705736,0,42.75404984,0,0,0,0,0,0,0,0,N/A,N/A
run20,West Montalvo,23468.82339,10217.02334,19587.34053,1.50108E-08,1.06081E-17,46953.72671,0,0,0,0,115480466.6,54484505.27,106235813.8,8.15243E-05,6.99718E-14,295687498.8,0,0,4012643.166,3345950.785,0,1.874246425,5.85591994,3.990287012,0,2.329094336,0.026479364,0,0,0.12277121,0,4.756980156,0,4.196239589,0,2.777428995,0,25.92944703,86.90597297,42.00083023,84.30523775,6.93613E-11,6.66534E-20,212.5900595,0,0,N/A,N/A
run20,Midway Sunset,24203.68412,17140.45963,10999.55798,7.46112E-09,7.01636E-18,50416.51577,0,0,0,0,115962247.1,91405239.22,59719564.08,4.06277E-05,4.62807E-14,311168277.2,0,0,3885941.73,2863614.86,0,1.852410136,4.962943336,5.545696033,0,1.851836204,0.021053438,0,0,0.127110178,0,4.925100847,0,4.344542646,0,1.431875628,0,25.06256845,89.62719109,70.46216013,47.34284113,3.4476E-11,4.40858E-20,228.2683578,0,0,N/A,N/A
